[検索タイプ] : 企業検索,,,,,,,,,,,
[検索条件] : 〔 業種（東証） ： 水産・農林業 OR 鉱　業 OR 建設業 OR 食料品 OR 繊維製品 OR パルプ・紙 OR 化　学 OR 医薬品 OR 石油・石炭製品 OR ゴム製品 OR ガラス・土石製品 OR 鉄　鋼 OR 非鉄金属 OR 金属製品 OR 機　械 OR 電気機器 OR 輸送用機器 OR 精密機器 OR その他製品 OR 電気・ガス業 OR 陸運業 OR 海運業 OR 空運業 OR 倉庫・運輸関連業 OR 情報・通信業 OR 卸売業 OR 小売業 OR 銀行業 OR 証券、商品先物取引業 OR 保険業 OR その他金融業 OR 不動産業 OR サービス業 〕 AND 〔 決算月 ： 3月 〕 AND 〔 連結/非連結 ： 連結 〕 AND 〔 その他表示項目 ： 時価総額（直近終値ベース） 〕,,,,,,,,,,,
[並び順] : 〔 証券コード ： 昇順 〕,,,,,,,,,,,
,,,,,,,,,,,
[No],[証券コード],[EDINETコード],[企業名],[業種（東証）],[上場市場],[決算月],[会計方式],[連結/非連結],[監査法人],[時価総額（直近終値ベース）[百万円]],[ウォッチリスト]
1011,6282,E01642,オイレス工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 53,543 ",--
1012,6286,E01684,靜甲㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,芙蓉監査法人," 4,058 ",--
1013,6287,E01685,サトーホールディングス㈱,機　械,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 93,169 ",--
1014,6292,E01694,㈱カワタ,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,503 ",--
1015,6293,E01695,日精樹脂工業㈱,機　械,東証一部、名証一部,3月末日,日本基準,連結,新日本有限責任監査法人," 29,577 ",--
1016,6294,E01696,オカダアイヨン㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 10,976 ",--
1017,6297,E01699,鉱研工業㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 4,520 ",--
1018,6298,E02008,ワイエイシイホールディングス㈱,機　械,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 10,559 ",--
1019,6299,E01700,㈱神鋼環境ソリューション,機　械,東証二部,3月末日,日本基準,連結,有限責任あずさ監査法人," 47,618 ",--
1020,6301,E01532,㈱小松製作所,機　械,東証一部,3月末日,米国（SEC）基準,連結,有限責任あずさ監査法人," 3,057,785 ",--
1021,6302,E01533,住友重機械工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 416,649 ",--
1022,6303,E01703,㈱ササクラ,機　械,東証二部,3月末日,日本基準,連結,仰星監査法人," 8,030 ",--
1023,6305,E01585,日立建機㈱,機　械,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 766,885 ",--
1024,6306,E01372,日工㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 28,440 ",--
1025,6307,E01704,サンセイ㈱,機　械,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,332 ",--
1026,6315,E01708,ＴＯＷＡ㈱,機　械,東証一部,3月末日,日本基準,連結,ＰｗＣ京都監査法人," 55,198 ",--
1027,6317,E01584,㈱北川鉄工所,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 17,419 ",--
1028,6319,E01289,㈱シンニッタン,鉄　鋼,東証一部,3月末日,日本基準,連結,新創監査法人," 14,685 ",--
1029,6322,E01711,㈱タクミナ,機　械,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 8,841 ",--
1030,6324,E01712,㈱ハーモニック・ドライブ・システムズ,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 554,776 ",--
1031,6330,E01661,東洋エンジニアリング㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 28,494 ",--
1032,6331,E01536,三菱化工機㈱,機　械,東証一部,3月末日,日本基準,連結,ＥＹ新日本有限責任監査法人," 22,285 ",--
1033,6332,E01537,月島機械㈱,機　械,東証一部,3月末日,日本基準,連結,井上監査法人," 54,112 ",--
1034,6333,E01761,㈱帝国電機製作所,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 26,775 ",--
1035,6334,E01538,明治機械㈱,機　械,東証二部,3月末日,日本基準,連結,監査法人元和," 3,306 ",--
1036,6335,E01539,㈱東京機械製作所,機　械,東証一部,3月末日,日本基準,連結,仁智監査法人," 6,407 ",--
1037,6337,E02049,㈱テセック,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 19,156 ",--
1038,6339,E01541,新東工業㈱,機　械,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 43,228 ",--
1039,6342,E01547,㈱太平製作所,機　械,東証二部、名証二部,3月末日,日本基準,連結,栄監査法人," 2,692 ",--
1040,6343,E01620,フリージア・マクロス㈱,機　械,東証二部,3月末日,日本基準,連結,双研日栄監査法人," 7,531 ",--
1041,6345,E01657,㈱アイチコーポレーション,機　械,東証一部、名証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 68,134 ",--
1042,6349,E01667,㈱小森コーポレーション,機　械,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 47,216 ",--
1043,6351,E01662,㈱鶴見製作所,機　械,東証一部,3月末日,日本基準,連結,東陽監査法人," 48,702 ",--
1044,6355,E02255,住友精密工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 13,456 ",--
1045,6357,E01632,三精テクノロジーズ㈱,機　械,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 16,451 ",--
1046,6358,E01610,酒井重工業㈱,機　械,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 11,049 ",--
1047,6362,E01543,㈱石井鐵工所,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 11,408 ",--
1048,6363,E01636,㈱酉島製作所,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 26,259 ",--
1049,6364,E01663,北越工業㈱,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 35,263 ",--
1050,6365,E01544,㈱電業社機械製作所,機　械,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 17,770 ",--
1051,6366,E01569,千代田化工建設㈱,建設業,東証二部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 107,774 ",--
1052,6367,E01570,ダイキン工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 6,014,698 ",--
1053,6368,E01571,オルガノ㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 73,364 ",--
1054,6369,E01572,トーヨーカネツ㈱,機　械,東証一部,3月末日,日本基準,連結,仰星監査法人," 23,233 ",--
1055,6370,E01573,栗田工業㈱,機　械,東証一部,3月末日,IFRS基準,連結,太陽有限責任監査法人," 597,271 ",--
1056,6371,E01578,㈱椿本チエイン,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 124,414 ",--
1057,6373,E01580,大同工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 11,098 ",--
1058,6378,E01546,木村化工機㈱,機　械,東証一部,3月末日,日本基準,連結,ひびき監査法人," 19,137 ",--
1059,6379,E01577,レイズネクスト㈱,建設業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 63,972 ",--
1060,6381,E01554,アネスト岩田㈱,機　械,東証一部,3月末日,日本基準,連結,青南監査法人," 44,834 ",--
1061,6382,E01627,トリニティ工業㈱,機　械,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,377 ",--
1062,6383,E01551,㈱ダイフク,機　械,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 1,173,675 ",--
1063,6384,E01719,㈱昭和真空,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 10,534 ",--
1064,6390,E01583,㈱加藤製作所,機　械,東証一部,3月末日,日本基準,連結,東陽監査法人," 12,048 ",--
1065,6392,E02180,㈱ヤマダコーポレーション,機　械,東証二部,3月末日,日本基準,連結,青南監査法人," 5,736 ",--
1066,6393,E01612,油研工業㈱,機　械,東証一部,3月末日,日本基準,連結,ロイヤル監査法人," 7,776 ",--
1067,6395,E01613,㈱タダノ,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 146,594 ",--
1068,6403,E01646,水道機工㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 8,600 ",--
1069,6405,E01724,鈴茂器工㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 11,035 ",--
1070,6406,E01622,フジテック㈱,機　械,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 214,358 ",--
1071,6407,E01909,ＣＫＤ㈱,機　械,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 172,014 ",--
1072,6408,E01647,小倉クラッチ㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 4,318 ",--
1073,6409,E01634,㈱キトー,機　械,東証一部,3月末日,日本基準,連結,PwCあらた有限責任監査法人," 37,023 ",--
1074,6412,E02403,㈱平和,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 192,232 ",--
1075,6413,E02410,理想科学工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 81,180 ",--
1076,6416,E02000,桂川電機㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任開花監査法人," 1,015 ",--
1077,6417,E02419,㈱ＳＡＮＫＹＯ,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 193,411 ",--
1078,6418,E01698,日本金銭機械㈱,機　械,東証一部,3月末日,日本基準,連結,ＥＹ新日本有限責任監査法人," 17,263 ",--
1079,6419,E02424,㈱マースグループホールディングス,機　械,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 37,147 ",--
1080,6420,E02006,フクシマガリレイ㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 97,422 ",--
1081,6424,E02025,㈱高見沢サイバネティックス,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,EY新日本有限責任監査法人," 4,108 ",--
1082,6428,E01718,㈱オーイズミ,機　械,東証一部,3月末日,日本基準,連結,監査法人コスモス," 8,595 ",--
1083,6430,E02073,ダイコク電機㈱,機　械,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 13,571 ",--
1084,6433,E01727,ヒーハイスト㈱,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 3,000 ",--
1085,6436,E01590,アマノ㈱,機　械,東証一部,3月末日,日本基準,連結,ＥＹ新日本有限責任監査法人," 224,377 ",--
1086,6444,E01913,サンデンホールディングス㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 43,113 ",--
1087,6445,E01595,蛇の目ミシン工業㈱,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,617 ",--
1088,6448,E01594,ブラザー工業㈱,電気機器,東証一部、名証一部,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 612,547 ",--
1089,6454,E02381,マックス㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 80,343 ",--
1090,6455,E01653,㈱モリタホールディングス,輸送用機器,東証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 75,491 ",--
1091,6457,E01650,グローリー㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 148,786 ",--
1092,6458,E01669,新晃工業㈱,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 52,029 ",--
1093,6460,E02475,セガサミーホールディングス㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 392,954 ",--
1094,6461,E01597,日本ピストンリング㈱,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 11,882 ",--
1095,6462,E01598,㈱リケン,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 28,889 ",--
1096,6463,E01599,ＴＰＲ㈱,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 56,027 ",--
1097,6467,E01456,㈱ニチダイ,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任監査法人トーマツ," 4,282 ",--
1098,6470,E02199,大豊工業㈱,機　械,東証一部、名証一部,3月末日,日本基準,連結,太陽有限責任監査法人," 32,906 ",--
1099,6471,E01600,日本精工㈱,機　械,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 577,728 ",--
1100,6472,E01601,ＮＴＮ㈱,機　械,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 167,726 ",--
1101,6473,E01602,㈱ジェイテクト,機　械,東証一部、名証一部,3月末日,IFRS基準,連結,ＰｗＣ京都監査法人," 424,645 ",--
1102,6479,E01607,ミネベア　ミツミ㈱,電気機器,東証一部、名証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 1,267,575 ",--
1103,6480,E01631,日本トムソン㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 46,452 ",--
1104,6482,E01710,㈱ユーシン精機,機　械,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 30,114 ",--
1105,6484,E01434,㈱ＫＶＫ,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人コスモス," 17,462 ",--
1106,6485,E01693,前澤給装工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 25,093 ",--
1107,6486,E01414,イーグル工業㈱,機　械,東証一部,3月末日,日本基準,連結,監査法人日本橋事務所," 57,868 ",--
1108,6488,E01683,㈱ヨシタケ,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,三優監査法人," 7,608 ",--
1109,6490,E01645,日本ピラー工業㈱,機　械,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 55,168 ",--
1110,6493,E02189,日鍛バルブ㈱,輸送用機器,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 8,983 ",--
1111,6494,E01648,㈱ＮＦＫホールディングス,機　械,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人元和," 4,170 ",--
1112,6501,E01737,㈱日立製作所,電気機器,東証一部、名証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 5,892,485 ",--
1113,6502,E01738,㈱東芝,電気機器,東証一部、名証一部,3月末日,米国（SEC）基準,連結,PwCあらた有限責任監査法人," 2,160,306 ",--
1114,6503,E01739,三菱電機㈱,電気機器,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 3,864,962 ",--
1115,6504,E01740,富士電機㈱,電気機器,東証一部、名証一部、福証上場,3月末日,日本基準,連結,新日本有限責任監査法人," 788,288 ",--
1116,6507,E01743,シンフォニアテクノロジー㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 39,172 ",--
1117,6508,E01744,㈱明電舎,電気機器,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 106,534 ",--
1118,6513,E01751,㈱オリジン,電気機器,東証一部,3月末日,日本基準,連結,協立監査法人," 8,890 ",--
1119,6516,E01806,山洋電気㈱,電気機器,東証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 102,220 ",--
1120,6517,E01758,デンヨー㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 47,068 ",--
1121,6518,E02012,三相電機㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,仰星監査法人," 4,606 ",--
1122,6539,E32801,㈱ＭＳ－Ｊａｐａｎ,サービス業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 25,909 ",--
1123,6541,E32811,グレイステクノロジー㈱,サービス業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 49,214 ",--
1124,6544,E33034,ジャパンエレベーターサービスホールディングス㈱,サービス業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 216,711 ",--
1125,6548,E33110,㈱旅工房,サービス業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,310 ",--
1126,6550,E33238,Ｆｒｉｎｇｅ８１㈱,サービス業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 3,939 ",--
1127,6556,E33412,ウェルビー㈱,サービス業,東証一部,3月末日,日本基準,連結,"東陽監査法人,監査法人の結論"," 40,020 ",--
1128,6562,E33615,㈱ジーニー,サービス業,東証マザーズ,3月末日,日本基準,連結,有限責任監査法人トーマツ," 26,548 ",--
1129,6564,E33577,㈱ミダック,サービス業,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 86,478 ",--
1130,6566,E33633,㈱要興業,サービス業,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 15,030 ",--
1131,6569,E33815,日総工産㈱,サービス業,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 28,348 ",--
1132,6574,E33864,㈱コンヴァノ,サービス業,東証マザーズ,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 1,713 ",--
1133,6575,E33903,ヒューマン・アソシエイツ・ホールディングス㈱,サービス業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 2,231 ",--
1134,6579,E34082,ログリー㈱,サービス業,東証マザーズ,3月末日,日本基準,連結,EY新日本有限責任監査法人," 4,734 ",--
1135,6584,E01753,三桜工業㈱,輸送用機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 45,313 ",--
1136,6586,E01920,㈱マキタ,機　械,東証一部、名証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 1,419,688 ",--
1137,6588,E01884,東芝テック㈱,電気機器,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 260,195 ",--
1138,6590,E01757,芝浦メカトロニクス㈱,電気機器,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 40,554 ",--
1139,6594,E01975,日本電産㈱,電気機器,東証一部,3月末日,IFRS基準,連結,ＰｗＣ京都監査法人," 7,462,500 ",--
1140,6599,E35555,エブレン㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 5,022 ",--
1141,6615,E32169,ユー・エム・シー・エレクトロニクス㈱,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 21,264 ",--
1142,6616,E30479,トレックス・セミコンダクター㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 25,869 ",--
1143,6617,E26713,㈱東光高岳,電気機器,東証一部,3月末日,日本基準,連結,アーク有限責任監査法人," 23,421 ",--
1144,6618,E26216,㈱大泉製作所,電気機器,東証マザーズ,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 6,400 ",--
1145,6620,E25665,宮越ホールディングス㈱,電気機器,東証一部,3月末日,日本基準,連結,興亜監査法人," 43,416 ",--
1146,6622,E01750,㈱ダイヘン,電気機器,東証一部、福証上場,3月末日,日本基準,連結,有限責任あずさ監査法人," 136,600 ",--
1147,6623,E01748,愛知電機㈱,電気機器,名証一部,3月末日,日本基準,連結,名古屋監査法人," 26,552 ",--
1148,6625,E25686,ＪＡＬＣＯホールディングス㈱,不動産業,JASDAQ スタンダード,3月末日,日本基準,連結,みかさ監査法人," 20,740 ",--
1149,6626,E25386,ＳＥＭＩＴＥＣ㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,太陽有限責任監査法人," 13,517 ",--
1150,6628,E24562,オンキヨーホームエンターテイメント㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,監査法人KsLab.," 2,679 ",--
1151,6629,E23871,テクノホライゾン㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 38,819 ",--
1152,6632,E21320,㈱ＪＶＣケンウッド,電気機器,東証一部,3月末日,IFRS基準,連結,有限責任監査法人トーマツ," 38,704 ",--
1153,6637,E01764,寺崎電気産業㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 15,688 ",--
1154,6638,E02114,㈱ミマキエンジニアリング,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 22,139 ",--
1155,6639,E02117,㈱コンテック,電気機器,東証二部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 11,253 ",--
1156,6641,E01746,日新電機㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 148,053 ",--
1157,6643,E01747,㈱戸上電機製作所,電気機器,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 9,197 ",--
1158,6644,E01752,大崎電気工業㈱,電気機器,東証一部,3月末日,日本基準,連結,監査法人原会計事務所," 30,545 ",--
1159,6645,E01755,オムロン㈱,電気機器,東証一部,3月末日,米国（SEC）基準,連結,有限責任監査法人トーマツ," 1,759,268 ",--
1160,6647,E01912,森尾電機㈱,電気機器,東証二部,3月末日,日本基準,連結,東陽監査法人," 2,506 ",--
1161,6651,E01759,日東工業㈱,電気機器,東証一部、名証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 79,034 ",--
1162,6652,E01951,ＩＤＥＣ㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 71,233 ",--
1163,6655,E02028,東洋電機㈱,電気機器,名証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 3,807 ",--
1164,6658,E02109,シライ電子工業㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,PwC京都監査法人," 3,787 ",--
1165,6659,E01875,㈱メディアリンクス,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,東邦監査法人," 2,996 ",--
1166,6666,E02093,リバーエレテック㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,新日本有限責任監査法人," 10,512 ",--
1167,6670,E02090,㈱ＭＣＪ,電気機器,東証二部,3月末日,日本基準,連結,太陽有限責任監査法人," 110,832 ",--
1168,6674,E02089,㈱ジーエス・ユアサ　コーポレーション,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 252,694 ",--
1169,6675,E01874,サクサホールディングス㈱,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 8,705 ",--
1170,6676,E02086,㈱メルコホールディングス,電気機器,東証一部、名証一部,3月末日,日本基準,連結,監査法人東海会計社," 110,855 ",--
1171,6698,E33583,ヴィスコ・テクノロジーズ㈱,電気機器,東証二部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 6,732 ",--
1172,6699,E34065,ダイヤモンドエレクトリックホールディングス㈱,電気機器,東証一部,3月末日,日本基準,連結,仰星監査法人," 23,065 ",--
1173,6701,E01765,日本電気㈱,電気機器,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 1,394,262 ",--
1174,6702,E01766,富士通㈱,電気機器,東証一部、名証一部,3月末日,IFRS基準,連結,EY新日本有限責任監査法人," 3,858,513 ",--
1175,6703,E01767,沖電気工業㈱,電気機器,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 87,479 ",--
1176,6704,E01768,岩崎通信機㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 9,465 ",--
1177,6706,E01897,電気興業㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 32,592 ",--
1178,6707,E01790,サンケン電気㈱,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 131,513 ",--
1179,6715,E01827,㈱ナカヨ,電気機器,東証一部,3月末日,日本基準,連結,アーク有限責任監査法人," 7,072 ",--
1180,6718,E01849,アイホン㈱,電気機器,東証一部、名証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 37,733 ",--
1181,6724,E01873,セイコーエプソン㈱,電気機器,東証一部,3月末日,IFRS基準,連結,新日本有限責任監査法人," 809,260 ",--
1182,6727,E02059,㈱ワコム,電気機器,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 110,753 ",--
1183,6730,E02077,㈱アクセル,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 10,180 ",--
1184,6736,E02070,サン電子㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 79,452 ",--
1185,6737,E02069,ＥＩＺＯ㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 117,292 ",--
1186,6740,E30481,㈱ジャパンディスプレイ,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 33,846 ",--
1187,6741,E01769,日本信号㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 63,897 ",--
1188,6742,E01770,㈱京三製作所,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 27,085 ",--
1189,6743,E01816,大同信号㈱,電気機器,東証二部,3月末日,日本基準,連結,東邦監査法人," 11,711 ",--
1190,6744,E01803,能美防災㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任あずさ監査法人," 122,213 ",--
1191,6745,E01802,ホーチキ㈱,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 35,006 ",--
1192,6750,E02066,エレコム㈱,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 193,757 ",--
1193,6752,E01772,パナソニック㈱,電気機器,東証一部、名証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 3,108,664 ",--
1194,6753,E01773,シャープ㈱,電気機器,東証一部,3月末日,日本基準,連結,ＰｗＣあらた有限責任監査法人," 1,224,517 ",--
1195,6754,E01774,アンリツ㈱,電気機器,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 286,401 ",--
1196,6755,E01775,㈱富士通ゼネラル,電気機器,東証一部,3月末日,日本基準,連結,八重洲監査法人," 292,644 ",--
1197,6758,E01777,ソニーグループ㈱,電気機器,東証一部,3月末日,米国（SEC）基準,連結,ＰｗＣあらた有限責任監査法人," 13,865,341 ",--
1198,6762,E01780,ＴＤＫ㈱,電気機器,東証一部,3月末日,米国（SEC）基準,連結,有限責任あずさ監査法人," 1,831,116 ",--
1199,6763,E01782,帝国通信工業㈱,電気機器,東証一部,3月末日,日本基準,連結,有限責任監査法人トーマツ," 12,170 ",--
1200,6768,E01786,㈱タムラ製作所,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 48,835 ",--
1201,6770,E01793,アルプスアルパイン㈱,電気機器,東証一部,3月末日,日本基準,連結,EY新日本有限責任監査法人," 267,523 ",--
1202,6771,E01819,池上通信機㈱,電気機器,東証一部,3月末日,日本基準,連結,東光監査法人," 6,127 ",--
1203,6772,E01811,東京コスモス電機㈱,電気機器,東証二部,3月末日,日本基準,連結,藍監査法人," 1,570 ",--
1204,6775,E01795,㈱ＴＢグループ,電気機器,東証二部,3月末日,日本基準,連結,監査法人まほろば," 1,733 ",--
1205,6776,E01813,天昇電気工業㈱,化　学,東証二部,3月末日,日本基準,連結,アーク有限責任監査法人," 8,643 ",--
1206,6777,E01870,ｓａｎｔｅｃ㈱,電気機器,JASDAQ スタンダード,3月末日,日本基準,連結,有限責任あずさ監査法人," 18,755 ",--
1207,6779,E01807,日本電波工業㈱,電気機器,東証一部,3月末日,IFRS基準,連結,有限責任あずさ監査法人," 22,086 ",--
1208,6786,E02057,㈱ＲＶＨ,サービス業,東証二部,3月末日,日本基準,連結,HLBMeisei有限責任監査法人," 1,565 ",--
